Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
Azure Storage Actions,Microsoft.StorageActions,storageactions,Done,AlreadyTypeSpec,,,Done,specification/storageactions/StorageAction.Management/tspconfig.yaml,1/1/2023,sdk/resourcemanager/storageactions/armstorageactions,1/1/2023,,2219e4e4e0409bcb88a2b82e8febe1a3baecaf18,,,SwaggerCommit recomputed (was empty)
Bing Search APIs,Microsoft.Bing,bing,,NO_SPEC,,,NoSpec,,,,,,,,,
Reservations RP,Microsoft.BillingBenefits,billingbenefits,,Done,,,ManualReview,specification/billingbenefits/BillingBenefits.Management/tspconfig.yaml,2025-12-01-preview,sdk/resourcemanager/billingbenefits/armbillingbenefits,11/1/2022,https://github.com/Azure/azure-sdk-for-go/pull/26310,2b47198df3bc98a27d7be9891d4c4887392ff710,package-preview-2024-11-01-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-billingbenefits-armbillingbenefits-3.0.0-beta.1-1773913691/sdk/resourcemanager/billingbenefits/armbillingbenefits/CHANGELOG.md,Manual review: unclassified breaking changes not covered by migration accept list: RPClient.ValidatePurchase removed; SavingsPlanPurchaseValidateRequest removed.
Azure Device Provisioning Service,Microsoft.Devices,deviceprovisioningservices,Done,AlreadyTypeSpec,,,Done,specification/deviceprovisioningservices/resource-manager/Microsoft.Devices/DeviceProvisioningServices/tspconfig.yaml,2025-02-01-preview,sdk/resourcemanager/deviceprovisioningservices/armdeviceprovisioningservices,2025-02-01-preview,,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure DNS Public Zones,Microsoft.Network,dns,,Premium,,,AlreadyTypeSpec,specification/dns/resource-manager/Microsoft.Network/Dns/tspconfig.yaml,2023-07-01-preview,sdk/resourcemanager/dns/armdns,2023-07-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26258,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Edge Hardware Center,Microsoft.EdgeOrder,edgeorder,Done,Done,,,Done,specification/edgeorder/resource-manager/Microsoft.EdgeOrder/EdgeOrder/tspconfig.yaml,2/1/2024,sdk/resourcemanager/edgeorder/armedgeorder,12/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26322,549e13fda6874099890b133b993217f8cd325946,package-2024-02,https://github.com/Azure/azure-sdk-for-go/blob/release-edgeorder-armedgeorder-2.0.0-1777521316/sdk/resourcemanager/edgeorder/armedgeorder/CHANGELOG.md,"All diff items are acceptable base/error struct removals (Resource, ProxyResource, TrackedResource, ErrorResponse, BasicInformation, CommonProperties)."
SRP,Microsoft.ElasticSan,elasticsan,Done,AlreadyTypeSpec,,,Done,specification/elasticsan/resource-manager/Microsoft.ElasticSan/ElasticSan/tspconfig.yaml,2024-07-01-preview,sdk/resourcemanager/elasticsan/armelasticsan,9/1/2025,,3db6867b8e524ea6d1bc7a3bbb989fe50dd2f184,,,SwaggerCommit recomputed (was empty)
Azure Automanage,Microsoft.GuestConfiguration,guestconfiguration,,Done,,,ManualReview,specification/guestconfiguration/resource-manager/Microsoft.GuestConfiguration/Assignments/tspconfig.yaml,4/5/2024,sdk/resourcemanager/guestconfiguration/armguestconfiguration,1/25/2022,https://github.com/Azure/azure-sdk-for-go/pull/26323,0e56f0e511c3a176e7156fe2ef7e52e27113010a,package-2024-04-05,https://github.com/Azure/azure-sdk-for-go/blob/release-guestconfiguration-armguestconfiguration-1.3.0-1777521407/sdk/resourcemanager/guestconfiguration/armguestconfiguration/CHANGELOG.md,Function parameter order changed for Assignments/AssignmentReports/HCRP* clients (resolvable via TypeSpec parameter order). Plus base struct removals (acceptable).
Azure Dedicated HSM,Microsoft.HardwareSecurityModules,hardwaresecuritymodules,Done,AlreadyTypeSpec,,,Done,specification/hardwaresecuritymodules/resource-manager/Microsoft.HardwareSecurityModules/HardwareSecurityModules/tspconfig.yaml,3/31/2025,sdk/resourcemanager/hardwaresecuritymodules/armhardwaresecuritymodules,3/31/2025,,f6f49d9fc5b62560791be47598ec00151c5ccbf6,,,SwaggerCommit recomputed (was empty)
Microsoft Diagnostics RP,Microsoft.Help,help,Done,Done,,,Done,specification/help/resource-manager/Microsoft.Help/Help/tspconfig.yaml,2024-03-01-preview,sdk/resourcemanager/selfhelp/armselfhelp,2024-03-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26269,67f3f22c59fff7046b0b69387eebdaa812a0b543,,,SwaggerCommit recomputed (was empty)
Kubernetes Connect Service,Microsoft.Kubernetes,hybridkubernetes,Done,Done,,,AlreadyTypeSpec,specification/hybridkubernetes/HybridKubernetes.Management/tspconfig.yaml,2024-12-01-preview,sdk/resourcemanager/hybridkubernetes/armhybridkubernetes,2024-12-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26265,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Planned Maintenance,Microsoft.Maintenance,maintenance,,Done,,,AlreadyTypeSpec,specification/maintenance/resource-manager/Microsoft.Maintenance/Maintenance/tspconfig.yaml,2023-10-01-preview,sdk/resourcemanager/maintenance/armmaintenance,2023-10-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26264,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Notification Hubs,Microsoft.NotificationHubs,notificationhubs,,Done,,,AlreadyTypeSpec,specification/notificationhubs/resource-manager/Microsoft.NotificationHubs/NotificationHubs/tspconfig.yaml,2023-10-01-preview,sdk/resourcemanager/notificationhubs/armnotificationhubs,2023-10-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26260,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure DNS Private Zones,Microsoft.Network,privatedns,,Premium,,,AlreadyTypeSpec,specification/privatedns/resource-manager/Microsoft.Network/PrivateDns/tspconfig.yaml,6/1/2024,sdk/resourcemanager/privatedns/armprivatedns,6/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26267,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Site Recovery,Microsoft.RecoveryServices,recoveryservices,,AlreadyTypeSpec,,,AlreadyTypeSpec,specification/recoveryservices/resource-manager/Microsoft.RecoveryServices/RecoveryServices/tspconfig.yaml,2/1/2025,sdk/resourcemanager/recoveryservices/armrecoveryservices,2/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26270,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
SQL IaaS,Microsoft.SqlVirtualMachine,sqlvirtualmachine,Done,Done,,,Done,specification/sqlvirtualmachine/resource-manager/Microsoft.SqlVirtualMachine/SqlVirtualMachine/tspconfig.yaml,10/1/2023,sdk/resourcemanager/sqlvirtualmachine/armsqlvirtualmachine,2022-08-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26312,549e13fda6874099890b133b993217f8cd325946,package-2023-10,https://github.com/Azure/azure-sdk-for-go/blob/release-sqlvirtualmachine-armsqlvirtualmachine-1.0.0-1777521473/sdk/resourcemanager/sqlvirtualmachine/armsqlvirtualmachine/CHANGELOG.md,Type of `Operation.Properties` changed from `map[string]any` to `map[string]*OperationProperty` (richer TypeSpec typing; verify acceptable or use @@alternateType).
Liftr-Confluent,Microsoft.Confluent,confluent,,AlreadyTypeSpec,,,Done,specification/confluent/Confluent.Management/tspconfig.yaml,7/1/2024,sdk/resourcemanager/confluent/armconfluent,2025-08-18-preview,https://github.com/Azure/azure-sdk-for-go/pull/26429,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Bot Service,Microsoft.BotService,botservice,,Done,,,ManualReview,specification/botservice/resource-manager/Microsoft.BotService/BotService/tspconfig.yaml,2023-09-15-preview,sdk/resourcemanager/botservice/armbotservice,9/15/2022,https://github.com/Azure/azure-sdk-for-go/pull/26318,549e13fda6874099890b133b993217f8cd325946,package-preview-2023-09,https://github.com/Azure/azure-sdk-for-go/blob/release-botservice-armbotservice-1.3.0-beta.1-1779083841/sdk/resourcemanager/botservice/armbotservice/CHANGELOG.md,"Regenerated swagger SDK at commit 549e13f / tag package-preview-2023-09 (0 swagger breaking changes). TSP-only diff: EmailChannelAuthMethod type alias float32->int32 (resolvable via @@alternateType); base/error struct removals (Error, ErrorBody, PrivateLinkResourceBase, Resource) acceptable; ConnectionItemName removal — verify unreferenced."
Fabric Platform MWC,Microsoft.PowerBIdedicated,powerbidedicated,Done,Done,,,AlreadyTypeSpec,specification/powerbidedicated/resource-manager/Microsoft.PowerBIdedicated/PowerBIDedicated/tspconfig.yaml,1/1/2021,sdk/resourcemanager/powerbidedicated/armpowerbidedicated,1/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26266,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Advisor,Microsoft.Advisor,advisor,,Done,,,Done,specification/advisor/resource-manager/Microsoft.Advisor/Advisor/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/advisor/armadvisor,1/1/2020,https://github.com/Azure/azure-sdk-for-go/pull/26797,8ce8020456b3e303c7b7c480034e7971b4fedb88,package-2025-05-preview,https://github.com/Azure/azure-sdk-for-go/blob/sdkauto/sdk-resourcemanager-advisor/armadvisor-6311491/sdk/resourcemanager/advisor/armadvisor/CHANGELOG.md,Regenerated after spec PR Azure/azure-rest-api-specs#43205 merged (commit 736baa6d). New refresh PR #26797 supersedes closed #26331. Customization applied: root client renamed to ManagementClient and Duration enum members (Seven/Fourteen/TwentyOne/Thirty/Sixty/Ninety) preserved. Remaining diff vs swagger baseline acceptable: RetryAfter *string->*int32 (common-type upgrade) and Resource base struct removal.
CDN Management Service,Microsoft.Cdn,cdn,,Premium,,,ManualReview,specification/cdn/resource-manager/Microsoft.Cdn/Cdn/tspconfig.yaml,6/1/2025,sdk/resourcemanager/cdn/armcdn,2/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26315,9dcf0e13ae13d5b5abbdcd7429272412975300a3,package-2025-06,https://github.com/Azure/azure-sdk-for-go/blob/release-cdn-armcdn-3.0.0-1777521689/sdk/resourcemanager/cdn/armcdn/CHANGELOG.md,"Significant renames: WebApplicationFirewallPolicy->WafPolicy, CustomRuleList->CustomRuleListAfd, ManagedRuleSetList->ManagedRuleSetListAfd, PolicySettings->PolicySettingsAfd; ProvisioningState type change; Location/Tags fields removed. Multiple @@clientName fixes needed."
Azure Confidential Computing Ledger,Microsoft.ConfidentialLedger,confidentialledger,,Done,,,Done,specification/confidentialledger/resource-manager/Microsoft.ConfidentialLedger/ConfidentialLedger/tspconfig.yaml,2025-06-10-preview,sdk/resourcemanager/confidentialledger/armconfidentialledger,2024-09-19-preview,https://github.com/Azure/azure-sdk-for-go/pull/26314,47e16c37d55bd8388b68d2703a52c4b15b8c9024,package-preview-2023-01,https://github.com/Azure/azure-sdk-for-go/blob/release-confidentialledger-armconfidentialledger-1.3.0-beta.4-1777521755/sdk/resourcemanager/confidentialledger/armconfidentialledger/CHANGELOG.md,No breaking-change diff vs swagger baseline.
DataBox Pod & Disk Service,microsoft.databox,databox,,Done,,,ManualReview,specification/databox/resource-manager/Microsoft.DataBox/DataBox/tspconfig.yaml,7/1/2025,sdk/resourcemanager/databox/armdatabox,2/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26329,be190c66354520d7b7028bf2be3150f311733a04,package-2025-07,https://github.com/Azure/azure-sdk-for-go/blob/release-databox-armdatabox-3.0.0-1773915432/sdk/resourcemanager/databox/armdatabox/CHANGELOG.md,Type of `Operation.Properties` changed from `any` to `*OperationProperties` (richer typing; verify or @@alternateType). Base struct removals are acceptable.
Liftr-Datadog,microsoft.datadog,datadog,,Done,,,Done,specification/datadog/Datadog.Management/tspconfig.yaml,6/11/2025,sdk/resourcemanager/datadog/armdatadog,1/1/2023,https://github.com/Azure/azure-sdk-for-go/pull/26313,549e13fda6874099890b133b993217f8cd325946,package-2023-10,https://github.com/Azure/azure-sdk-for-go/blob/release-datadog-armdatadog-1.4.0-1773915486/sdk/resourcemanager/datadog/armdatadog/CHANGELOG.md,
Backup (MAB),Microsoft.DataProtection,dataprotection,,AlreadyTypeSpec,,,Done,specification/dataprotection/resource-manager/Microsoft.DataProtection/DataProtection/tspconfig.yaml,7/1/2025,sdk/resourcemanager/dataprotection/armdataprotection,7/1/2025,,8626bcfaf4b2a816117f76dadf6a9a4575f59796,,,Tag sdk/resourcemanager/dataprotection/armdataprotection/v4.1.0-beta.1 now exists; promoted from AlreadyTypeSpec.
DevCenter,Microsoft.DevCenter,devcenter,,Done,,,ManualReview,specification/devcenter/DevCenter.Management/tspconfig.yaml,2025-07-01-preview,sdk/resourcemanager/devcenter/armdevcenter,2/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26336,6267b64842af3d744c5b092a3f3beef49729ad6d,package-preview-2025-07-01-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-devcenter-armdevcenter-2.1.0-beta.1-1778643351/sdk/resourcemanager/devcenter/armdevcenter/CHANGELOG.md,"SpecCommit deliberately postdates migration (parent of first tsp commit was 2024-01 f9bf9d4 which lacks 2025-07-01-preview spec files); 6267b6 chosen as most recent commit containing 2025-07-01-preview. Diff vs new swagger 2.1.0-beta.1 baseline: acceptable common-type upgrades (IdentityType -> KeyEncryptionKeyIdentityType, *float32 -> *float64 on PercentComplete, OperationStatus.Properties any -> map[string]any, ResourceID removed from OperationStatus/OperationStatusResult). Needs review: Top field removed from SchedulesClientGetOptions."
Azure DNS Private Resolver,Microsoft.Network,dnsresolver,,AlreadyTypeSpec,,,Done,specification/dnsresolver/resource-manager/Microsoft.Network/DnsResolver/tspconfig.yaml,5/1/2025,sdk/resourcemanager/dnsresolver/armdnsresolver,2025-10-01-preview,,43ec634741a48376e9dbf4371e7520a9eb0a1cfa,,,SwaggerCommit recomputed (was empty)
Liftr-Elastic,Microsoft.Elastic,elastic,Done,Done,,,AlreadyTypeSpec,specification/elastic/Elastic.Management/tspconfig.yaml,6/1/2025,sdk/resourcemanager/elastic/armelastic,6/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26268,e2c2062c822c7344354f05dcfb1279e3a2df6338,,,SwaggerCommit recomputed (was empty)
Microsoft Health Agent - HealthBot,Microsoft.HealthBot,healthbot,Done,AlreadyTypeSpec,,,ManualReview,specification/healthbot/HealthBot.Management/tspconfig.yaml,5/25/2025,sdk/resourcemanager/healthbot/armhealthbot,11/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26430,5e6aa0371d93f218da51c8e8713c119d70285087,,,Refresh PR #26430 was closed unmerged; needs retrigger. Manual review: unclassified enum value removal SKUNameS1 and LRO change BotsClient.Update; common type removals are acceptable. | SwaggerCommit recomputed (was empty)
Azure Key Vault,Microsoft.KeyVault,keyvault,Done,AlreadyTypeSpec,,,Done,specification/keyvault/resource-manager/Microsoft.KeyVault/KeyVault/tspconfig.yaml,5/1/2025,sdk/resourcemanager/keyvault/armkeyvault,5/1/2025,,4ae5cdc221660762336d5a899495b2b4941ea486,,,SwaggerCommit recomputed (was empty)
Managed Service Identity,microsoft.managedidentity,msi,,Premium,,,Done,specification/msi/resource-manager/Microsoft.ManagedIdentity/ManagedIdentity/tspconfig.yaml,11/30/2024,sdk/resourcemanager/msi/armmsi,11/30/2024,https://github.com/Azure/azure-sdk-for-go/pull/26272,0e38f0a383cabf58342a19c6351766da0153b4f4,,,SwaggerCommit recomputed (was empty)
Azure Database for MySQL - Flexible Server,microsoft.dbformysql,mysql,,Done,,,ManualReview,specification/mysql/resource-manager/Microsoft.DBforMySQL/FlexibleServers/tspconfig.yaml,2024-12-01-preview,sdk/resourcemanager/mysql/armmysqlflexibleservers,2024-10-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26319,8dbe725fc8ce4873c0848071151de4bdf7bc0af8,package-flexibleserver-2024-12-01-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-mysql-armmysqlflexibleservers-2.0.0-beta.5-1774605091/sdk/resourcemanager/mysql/armmysqlflexibleservers/CHANGELOG.md,"Manual review: request-body optionality is acceptable, but unclassified type changes remain: UserAssignedIdentities map value, PercentComplete float32->float64."
Liftr-Nginx,nginx.nginxplus,nginx,,AlreadyTypeSpec,,,Done,specification/nginx/Nginx.Management/tspconfig.yaml,2025-03-01-preview,sdk/resourcemanager/nginx/armnginx,2025-03-01-preview,,549e13fda6874099890b133b993217f8cd325946,,,SwaggerCommit recomputed (was empty)
Azure Cosmos DB for PostgreSQL,microsoft.dbforpostgresql,postgresqlhsc,,Done,,,ManualReview,specification/postgresqlhsc/resource-manager/Microsoft.DBforPostgreSQL/PostgresqlHsc/tspconfig.yaml,2023-03-02-preview,sdk/resourcemanager/postgresqlhsc/armpostgresqlhsc,2020-10-05-privatepreview,https://github.com/Azure/azure-sdk-for-go/pull/26317,549e13fda6874099890b133b993217f8cd325946,package-preview-2023-03,https://github.com/Azure/azure-sdk-for-go/blob/release-postgresqlhsc-armpostgresqlhsc-0.7.0-1777521962/sdk/resourcemanager/postgresqlhsc/armpostgresqlhsc/CHANGELOG.md,"ServerGroupsClient*Options structs removed (need @@clientName for option struct names), Origin/OperationOrigin enum rename, ServerProperties removed, Operation.Properties field dropped. Multiple resolvable items."
QuotaManagement,Microsoft.Quota,quota,,AlreadyTypeSpec,,,Done,specification/quota/resource-manager/Microsoft.Quota/Quota/tspconfig.yaml,9/1/2025,sdk/resourcemanager/quota/armquota,9/1/2025,,fd22902dcca4de868ea11a4092724f5b65b18373,,,SwaggerCommit recomputed (was empty)
Backup (MAB),microsoft.recoveryservices,recoveryservicesbackup,,AlreadyTypeSpec,,,Done,specification/recoveryservicesbackup/resource-manager/Microsoft.RecoveryServices/RecoveryServicesBackup/tspconfig.yaml,2/1/2025,sdk/resourcemanager/recoveryservices/armrecoveryservicesbackup,2026-01-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26432,5dff72b9a6e8b5d7ad03509cdd8da14e60aef854,,,Audit: tag v5.0.0-beta.1 released 2026-04-24 from TypeSpec (tsp-location.yaml present); promoted from ManualReview to Done.
Redis Cache,microsoft.cache,redis,,Premium,,,AlreadyTypeSpec,specification/redis/resource-manager/Microsoft.Cache/Redis/tspconfig.yaml,11/1/2024,sdk/resourcemanager/redis/armredis,11/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26273,21f9b6302bb5b6f647e1b4d716c684e1af3119a8,,,SwaggerCommit recomputed (was empty)
Service Bus,microsoft.relay,relay,,Done,,,Done,specification/relay/resource-manager/Microsoft.Relay/Relay/tspconfig.yaml,1/1/2024,sdk/resourcemanager/relay/armrelay,11/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26316,549e13fda6874099890b133b993217f8cd325946,package-2024-01-01,,SwaggerCommit recomputed (was 706f864d76b3)
Service Bus,microsoft.servicebus,servicebus,,Premium,,,ManualReview,specification/servicebus/resource-manager/Microsoft.ServiceBus/ServiceBus/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/servicebus/armservicebus,11/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26321,727a8f26a095fedfce1775a88a2c26b6be55a954,package-2025-05-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-servicebus-armservicebus-2.0.0-beta.4-1777522031/sdk/resourcemanager/servicebus/armservicebus/CHANGELOG.md,FailoverProperties->NamespaceFailoverProperties rename (resolvable via @@clientName); SQLRuleAction removed; LRO upgrade and base struct removals are acceptable.
Azure SignalR Service,Microsoft.SignalRService,signalr,,Done,,,Done,specification/signalr/resource-manager/Microsoft.SignalRService/SignalRService/tspconfig.yaml,2025-01-01-preview,sdk/resourcemanager/signalr/armsignalr,2023-08-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26801,8600539fa5ba6c774b4454a401d9cd3cf01a36a7,package-2025-01-01-preview,,"Regenerated 2026-05-18 via pipeline 6311875 (new refresh PR #26801; prior #26326 already closed). New TSP changelog has no breaking changes; only additive features."
SRP,microsoft.storage,storage,,Premium,,,AlreadyTypeSpec,specification/storage/Storage.Management/tspconfig.yaml,6/1/2025,sdk/resourcemanager/storage/armstorage,6/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26261,7cdac2ce3863465e7b76b22a68699bac898e6802,,,SwaggerCommit recomputed (was empty)
Azure Storage Mover,Microsoft.StorageMover,storagemover,,AlreadyTypeSpec,,,AlreadyTypeSpec,specification/storagemover/StorageMover.Management/tspconfig.yaml,7/1/2024,sdk/resourcemanager/storagemover/armstoragemover,7/1/2025,,dee71463cbde1d416c47cf544e34f7966a94ddcb,,,SwaggerCommit recomputed (was empty)
Xsync,microsoft.storagesync,storagesync,,Done,,,Done,specification/storagesync/resource-manager/Microsoft.StorageSync/StorageSync/tspconfig.yaml,9/1/2022,sdk/resourcemanager/storagesync/armstoragesync,9/1/2020,https://github.com/Azure/azure-sdk-for-go/pull/26800,549e13fda6874099890b133b993217f8cd325946,package-2022-09,https://github.com/Azure/azure-sdk-for-go/blob/release-storagesync-armstoragesync-1.3.0-1779083960/sdk/resourcemanager/storagesync/armstoragesync/CHANGELOG.md,"Regenerated 2026-05-18: TSP refresh PR #26800 (pipeline 6311874; prior #26337 closed) + swagger baseline regenerated at commit 549e13f / tag package-2022-09 (0 swagger breaking changes). TSP-only diff: ServerEndpoints/Services BeginUpdate body parameter promoted out of options (TSP convention, acceptable); base/error struct removals (Error, ProxyResource, Resource, TrackedResource) acceptable."
Azure Support Case Mgmt,microsoft.support,support,,Done,,,AlreadyTypeSpec,specification/support/resource-manager/Microsoft.Support/Support/tspconfig.yaml,4/1/2024,sdk/resourcemanager/support/armsupport,4/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26259,96955c9cf1998abe8b24d44a79ea2c5cce9b9c46,,,SwaggerCommit recomputed (was empty)
Azure SignalR Service,Microsoft.SignalRService,webpubsub,,Done,,,ManualReview,specification/webpubsub/resource-manager/Microsoft.SignalRService/SignalRService/tspconfig.yaml,2025-01-01-preview,sdk/resourcemanager/webpubsub/armwebpubsub,3/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26320,8600539fa5ba6c774b4454a401d9cd3cf01a36a7,package-2025-01-01-preview,,Generator failed; Manual review: parameter order changes for Hubs/PrivateEndpointConnections/SharedPrivateLinkResources operations; consider TypeSpec client parameter customizations. | SwaggerCommit recomputed (was e89374a1f5e2)
Compute Recommender,,compute/Recommender,,AlreadyTypeSpec,,,Done,specification/compute/resource-manager/Microsoft.Compute/Recommender/tspconfig.yaml,6/5/2025,sdk/resourcemanager/compute/armrecommender,6/5/2025,,,,,
Liftr-Dynatrace,dynatrace.observability,dynatrace,,Done,,,Done,specification/dynatrace/Dynatrace.Management/tspconfig.yaml,4/24/2024,sdk/resourcemanager/dynatrace/armdynatrace,4/27/2023,https://github.com/Azure/azure-sdk-for-go/pull/26338,a0793fce3022a236e74f774aac1b2fb07974a1ab,package-2024-04-24,https://github.com/Azure/azure-sdk-for-go/blob/release-dynatrace-armdynatrace-2.2.0-1773915851/sdk/resourcemanager/dynatrace/armdynatrace/CHANGELOG.md,
Azure App Configuration,Microsoft.AppConfiguration,appconfiguration,,AlreadyTypeSpec,,,Done,specification/appconfiguration/resource-manager/Microsoft.AppConfiguration/AppConfiguration/tspconfig.yaml,2025-02-01-preview,sdk/resourcemanager/appconfiguration/armappconfiguration,2025-06-01-preview,,2d973fccf9f28681a481e9760fa12b2334216e21,,,SwaggerCommit recomputed (was empty)
CCM API - Consupmtion,microsoft.consumption,consumption,,Done,,,Done,specification/consumption/resource-manager/Microsoft.Consumption/Consumption/tspconfig.yaml,8/1/2024,sdk/resourcemanager/consumption/armconsumption,10/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26332,606c9fe76accc0e2b3fe2750c7f3bcd8fea62f79,package-2024-08,https://github.com/Azure/azure-sdk-for-go/blob/release-consumption-armconsumption-2.0.0-1777522170/sdk/resourcemanager/consumption/armconsumption/CHANGELOG.md,Audit: tag v2.0.0-beta.1 released 2026-03-19 from TypeSpec; promoted ManualReview to Done.
CCM API - CostManagement,microsoft.costmanagement,cost-management,,Done,,,Done,specification/cost-management/resource-manager/Microsoft.CostManagement/CostManagement/tspconfig.yaml,3/1/2025,sdk/resourcemanager/costmanagement/armcostmanagement,10/1/2022,https://github.com/Azure/azure-sdk-for-go/pull/26769,79839e98308d5f290b34d60dc54fb7b11bd54377,package-2025-03,https://github.com/Azure/azure-sdk-for-go/blob/sdkauto/sdk-resourcemanager-costmanagement/armcostmanagement-6295186/sdk/resourcemanager/costmanagement/armcostmanagement/CHANGELOG.md,"Manual review: regenerated against latest spec; 10 TSP-only breakings vs swagger baseline. 5 acceptable Etag (*string->*azcore.ETag). 5 resolvable via @@clientName: KpiType->KpiTypeType, PivotType->PivotTypeType (enum stutter rename), OperationForCostManagement->Operation rename."
Azure Stack Edge Service,microsoft.databoxedge,databoxedge,,Done,,,ManualReview,specification/databoxedge/resource-manager/Microsoft.DataBoxEdge/DataBoxEdge/tspconfig.yaml,12/1/2023,sdk/resourcemanager/databoxedge/armdataboxedge,3/1/2022,https://github.com/Azure/azure-sdk-for-go/pull/26340,f08909b11b193ea57272a544387e3a67f60a7c13,package-2023-12-01,https://github.com/Azure/azure-sdk-for-go/blob/release-databoxedge-armdataboxedge-1.3.0-1774605243/sdk/resourcemanager/databoxedge/armdataboxedge/CHANGELOG.md,Resolvable: multiple body parameter renames can use @@clientName on operation parameters; parameter order changes and removed models also need review.
Service Bus,Microsoft.EventHub,eventhub,,Premium,,,Done,specification/eventhub/resource-manager/Microsoft.EventHub/Eventhub/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/eventhub/armeventhub,2024-05-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26324,7977092320778f47c240371124748e6967793459,package-2025-05-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-eventhub-armeventhub-1.4.0-beta.2-1779083034/sdk/resourcemanager/eventhub/armeventhub/CHANGELOG.md,"Regenerated swagger SDK at commit 7977092 (correct 2025-05-preview readme commit). TSP-only diff: LRO upgrade for NamespacesClient.Update + base/error struct removals (Resource, ProxyResource, TrackedResource, ErrorAdditionalInfo, ErrorDetail, ErrorResponse). All acceptable per migration guide."
Azure NetApp Files,Microsoft.NetApp,netapp,,AlreadyTypeSpec,,,Done,specification/netapp/resource-manager/Microsoft.NetApp/NetApp/tspconfig.yaml,6/1/2025,sdk/resourcemanager/netapp/armnetapp,12/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26431,c2c7ee70dea80830fe9ea94aed2cec6182c4e9e6,,,SwaggerCommit recomputed (was empty)
Network Cloud,Microsoft.NetworkCloud,networkcloud,,NO_SPEC,,,Done,specification/networkcloud/NetworkCloud.Management/tspconfig.yaml,9/1/2025,sdk/resourcemanager/networkcloud/armnetworkcloud,9/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26271,313ca227e879d1b5f6f59d9f68442a6c28fd3279,,,SwaggerCommit recomputed (was empty)
Liftr-Newrelic,NewRelic.Observability,newrelic,,Done,,,Done,specification/newrelic/NewRelicObservability.Management/tspconfig.yaml,2025-05-01-preview,sdk/resourcemanager/newrelic/armnewrelicobservability,2025-05-01-preview,,6267b64842af3d744c5b092a3f3beef49729ad6d,,,SwaggerCommit recomputed (was empty)
Liftr-PAN,PaloAltoNetworks.Cloudngfw,paloaltonetworks,,AlreadyTypeSpec,,,Done,specification/paloaltonetworks/PaloAltoNetworks.Management/tspconfig.yaml,10/8/2025,sdk/resourcemanager/paloaltonetworksngfw/armpanngfw,10/8/2025,,dbd27c2a6be4ecbd2a43833ab48e5046c3b8b03f,,,SwaggerCommit recomputed (was empty)
