Service,ARM Namespace,Spec Folder,.Net,Java,Python,JS,GO,tspconfig,SpecApiVersion,SdkFolder,SdkApiVersion,SdkPr,SwaggerCommit,SwaggerTag,SdkChangelog,Comment
Azure Site Recovery,Microsoft.RecoveryServices,recoveryservicessiterecovery,,,,,Done,specification/recoveryservicessiterecovery/resource-manager/Microsoft.RecoveryServices/SiteRecovery/tspconfig.yaml,,,,,de8103ff8e94ea51c56bb22094ded5d2dfc45a6a,,,SwaggerCommit recomputed (was empty)
Azure Search,Microsoft.Search,search,,Premium,,,Done,,,,,,,,,
Azure Frontdoor,Microsoft.Network,frontdoor,,,,,Done,specification/frontdoor/resource-manager/Microsoft.Network/FrontDoor/tspconfig.yaml,,,,,03253947022beee13bf4782c4ebef93a0afa237b,,,Audit: corrected tspconfig path (was unified-folder layout that no longer exists).
NFV Resource Provider,Microsoft.NetworkFunction,networkfunction,,Done,,,Done,specification/networkfunction/resource-manager/Microsoft.NetworkFunction/TrafficCollector/tspconfig.yaml,,,,,de8103ff8e94ea51c56bb22094ded5d2dfc45a6a,,,Audit: corrected tspconfig path (was unified-folder layout that no longer exists).
Sevice Fabric,Microsoft.ServiceFabric,servicefabric,,,,,Done,specification/servicefabric/resource-manager/Microsoft.ServiceFabric/ServiceFabric/tspconfig.yaml,2023-11-01-preview,sdk/resourcemanager/servicefabric/armservicefabric,6/1/2021,https://github.com/Azure/azure-sdk-for-go/pull/26753,de8103ff8e94ea51c56bb22094ded5d2dfc45a6a,package-2023-11-preview,https://github.com/Azure/azure-sdk-for-go/blob/release-servicefabric-armservicefabric-2.1.0-beta.1-1774605597/sdk/resourcemanager/servicefabric/armservicefabric/CHANGELOG.md,"Acceptable: SystemData CreatedByType/LastModifiedByType *string -> *CreatedByType enum; unused base/error structs (ErrorModel, ErrorModelError, ProxyResource, Resource, ServiceResourcePropertiesBase) removed."
IC3 ACS Resource Provider,Microsoft.Communication,communication,,,,,Done,,,,,,,,,
Azure Cosmos DB,Microsoft.DocumentDB,cosmos-db,,,,,Done,specification/cosmos-db/resource-manager/Microsoft.DocumentDB/DocumentDB/tspconfig.yaml,,sdk/resourcemanager/cosmos/armcosmos,,,aa6a1024c3bffff7def3b2d51807065973dfc97c,,,Audit: tag v4.0.0-beta.3 released 2026-03-23 from TypeSpec; promoted ManualReview to Done.
Azure Data Factory,Microsoft.DataFactory,datafactory,,,,,Done,specification/datafactory/resource-manager/Microsoft.DataFactory/DataFactory/tspconfig.yaml,,sdk/resourcemanager/datafactory/armdatafactory,,,de8103ff8e94ea51c56bb22094ded5d2dfc45a6a,,,Audit: tag v11.0.0-beta.1 released 2026-03-23 from TypeSpec; promoted ManualReview to Done.
Azure Event Grid,Microsoft.EventGrid,eventgrid,,,,,Done,,,,,,,,,
Network,Microsoft.Network,network,,,,,,specification/network/resource-manager/Microsoft.Network/Network/tspconfig.yaml,,sdk/resourcemanager/network/armnetwork,,,,,,Audit: tspconfig now exists in spec repo (was NoSpec); needs full processing from step 2. armnetwork is currently swagger-based (no tsp-location.yaml).
Microsoft Azure Sentinel,Microsoft.SecurityInsights,securityinsights,,,,,Done,specification/securityinsights/resource-manager/Microsoft.SecurityInsights/SecurityInsights/tspconfig.yaml,2025-07-01-preview,sdk/resourcemanager/securityinsights/armsecurityinsights,2022-09-01-preview,https://github.com/Azure/azure-sdk-for-go/pull/26727,de8103ff8e94ea51c56bb22094ded5d2dfc45a6a,package-2025-09-01,https://github.com/Azure/azure-sdk-for-go/blob/release-securityinsights-armsecurityinsights-2.0.0-1774605672/sdk/resourcemanager/securityinsights/armsecurityinsights/CHANGELOG.md,Manual review: prior refresh PR #26362 was closed; superseded by AutoPR #26727 (still open). Manual review: many string->enum/type renames may need @@alternateType/@@clientName; operation/client removals and field removals also need review.
Billing,Microsoft.Billing,billing,,,,,Done,specification/billing/resource-manager/Microsoft.Billing/Billing/tspconfig.yaml,4/1/2024,sdk/resourcemanager/billing/armbilling,4/1/2024,https://github.com/Azure/azure-sdk-for-go/pull/26771,dbf60faedce32008c5bf97951f560a54ff1a2ed9,,https://github.com/Azure/azure-sdk-for-go/blob/sdkauto/sdk-resourcemanager-billing/armbilling-6296150/sdk/resourcemanager/billing/armbilling/CHANGELOG.md,Tag sdk/resourcemanager/billing/armbilling/v2.0.0-beta.1 now exists; promoted from AlreadyTypeSpec. Prior diff items (16 struct removals: base + unreferenced models) accepted per migration guide.
SerialConsole,Microsoft.SerialConsole,serialconsole,,,,,Done,specification/serialconsole/resource-manager/Microsoft.SerialConsole/SerialConsole/tspconfig.yaml,7/1/2024,sdk/resourcemanager/serialconsole/armserialconsole,5/1/2018,https://github.com/Azure/azure-sdk-for-go/pull/26754,c0b152702d0cd57a5bd8fbdd44a4f71e7ce734cb,package-2024-07,https://github.com/Azure/azure-sdk-for-go/blob/release-serialconsole-armserialconsole-2.0.0-1774605724/sdk/resourcemanager/serialconsole/armserialconsole/CHANGELOG.md,"Resolved via @@clientLocation in client.tsp moving disableConsole/enableConsole back to MicrosoftSerialConsoleClient (specs PR #43119). Remaining diff acceptable: unused GetSerialConsoleSubscriptionNotFound, ProxyResource, Resource structs removed."
HDInsight,Microsoft.HDInsight,hdinsight,,,,,Done,specification/hdinsight/resource-manager/Microsoft.HDInsight/HDInsight/tspconfig.yaml,2025-01-15-preview,sdk/resourcemanager/hdinsight/armhdinsight,2025-01-15-preview,https://github.com/Azure/azure-sdk-for-go/pull/26365,be7a6608a4bf4adbecf82ec35320bf8c5312a278,,,Audit: corrected tspconfig path (was unified-folder layout that no longer exists).
Compute,Microsoft.Compute,compute,,,,,Done,specification/compute/resource-manager/Microsoft.Compute/Compute/tspconfig.yaml,multiple-service,sdk/resourcemanager/compute/armcompute,4/1/2025,https://github.com/Azure/azure-sdk-for-go/pull/26593,0f03ae6d4107a964b20a48aa87fa520052750bb9,,,SwaggerCommit recomputed (was empty) | Tag sdk/resourcemanager/compute/armcompute/v8.0.0 now exists; promoted from AlreadyTypeSpec.
